Frame,hayashide_CentreOfMass_X,hayashide_CentreOfMass_Y,hayashide_CentreOfMass_Z,hayashide_LHeadAngles_X,hayashide_LHeadAngles_Y,hayashide_LHeadAngles_Z,hayashide_LNeckAngles_X,hayashide_LNeckAngles_Y,hayashide_LNeckAngles_Z,hayashide_RHeadAngles_X,hayashide_RHeadAngles_Y,hayashide_RHeadAngles_Z,hayashide_RNeckAngles_X,hayashide_RNeckAngles_Y,hayashide_RNeckAngles_Z,robot_X,robot_Y,robot_Z
253,,,,,,,,,,,,,,,,-1542.138184,57.90604,1142.365479
254,,,,,,,,,,,,,,,,-1542.143799,57.918518,1142.375732
255,,,,,,,,,,,,,,,,-1542.154053,57.914413,1142.367676
256,,,,,,,,,,,,,,,,-1542.119995,57.873962,1142.344238
257,,,,,,,,,,,,,,,,-1542.117065,57.87711,1142.366821
258,,,,,,,,,,,,,,,,-1542.109375,57.890324,1142.360229
259,,,,,,,,,,,,,,,,-1542.132935,57.902145,1142.374146
260,,,,,,,,,,,,,,,,-1542.138916,57.939575,1142.377197
261,,,,,,,,,,,,,,,,-1542.147339,57.928555,1142.357056
262,,,,,,,,,,,,,,,,-1542.145386,57.906727,1142.344727
263,,,,,,,,,,,,,,,,-1542.111328,57.883484,1142.348145
264,,,,,,,,,,,,,,,,-1542.115723,57.885712,1142.360474
265,,,,,,,,,,,,,,,,-1542.129639,57.884193,1142.382324
266,,,,,,,,,,,,,,,,-1542.147095,57.907917,1142.374634
267,,,,,,,,,,,,,,,,-1542.141968,57.917645,1142.36145
268,,,,,,,,,,,,,,,,-1542.139404,57.912708,1142.345581
269,,,,,,,,,,,,,,,,-1542.11853,57.88982,1142.336792
270,,,,,,,,,,,,,,,,-1542.10437,57.906361,1142.35022
271,,,,,,,,,,,,,,,,-1542.120361,57.900757,1142.361938
272,,,,,,,,,,,,,,,,-1542.161255,57.922112,1142.37207
273,,,,,,,,,,,,,,,,-1542.177002,57.912979,1142.389038
274,,,,,,,,,,,,,,,,-1542.128174,57.916462,1142.353882
275,,,,,,,,,,,,,,,,-1542.107178,57.877495,1142.348389
276,,,,,,,,,,,,,,,,-1542.114014,57.891598,1142.363647
277,,,,,,,,,,,,,,,,-1542.123657,57.88118,1142.35376
278,,,,,,,,,,,,,,,,-1542.139893,57.907528,1142.384644
279,,,,,,,,,,,,,,,,-1542.14978,57.935478,1142.372559
280,,,,,,,,,,,,,,,,-1542.143188,57.936649,1142.352295
281,,,,,,,,,,,,,,,,-1542.116333,57.920151,1142.343994
282,,,,,,,,,,,,,,,,-1542.109619,57.895733,1142.353638
283,,,,,,,,,,,,,,,,-1542.121338,57.876228,1142.367065
284,,,,,,,,,,,,,,,,-1542.13501,57.901611,1142.401611
285,,,,,,,,,,,,,,,,-1542.148804,57.902096,1142.383301
286,,,,,,,,,,,,,,,,-1542.152466,57.915531,1142.384888
287,,,,,,,,,,,,,,,,-1542.115723,57.909588,1142.335327
288,,,,,,,,,,,,,,,,-1542.120728,57.885059,1142.340088
289,,,,,,,,,,,,,,,,-1542.09375,57.901615,1142.346191
290,,,,,,,,,,,,,,,,-1542.131836,57.902573,1142.366089
291,,,,,,,,,,,,,,,,-1542.153442,57.920219,1142.378418
292,,,,,,,,,,,,,,,,-1542.146484,57.913544,1142.380371
293,,,,,,,,,,,,,,,,-1542.128052,57.918182,1142.33667
294,,,,,,,,,,,,,,,,-1542.106201,57.893833,1142.349365
295,,,,,,,,,,,,,,,,-1542.109863,57.88065,1142.362549
296,,,,,,,,,,,,,,,,-1542.0896,57.874912,1142.381836
297,,,,,,,,,,,,,,,,-1542.129395,57.908226,1142.393555
298,,,,,,,,,,,,,,,,-1542.165527,57.914665,1142.375122
299,,,,,,,,,,,,,,,,-1542.151733,57.927639,1142.340698
300,,,,,,,,,,,,,,,,-1542.127808,57.924774,1142.328125
301,,,,,,,,,,,,,,,,-1542.116211,57.892063,1142.335571
302,,,,,,,,,,,,,,,,-1542.116089,57.899395,1142.365601
303,,,,,,,,,,,,,,,,-1542.141602,57.911209,1142.39502
304,,,,,,,,,,,,,,,,-1542.141968,57.916908,1142.37439
305,,,,,,,,,,,,,,,,-1542.13501,57.89904,1142.351807
306,,,,,,,,,,,,,,,,-1542.13208,57.890053,1142.337769
307,,,,,,,,,,,,,,,,-1542.116455,57.87812,1142.33728
308,,,,,,,,,,,,,,,,-1542.118896,57.891926,1142.353394
309,,,,,,,,,,,,,,,,-1542.146606,57.898903,1142.397949
310,,,,,,,,,,,,,,,,-1542.168457,57.917038,1142.373291
311,,,,,,,,,,,,,,,,-1542.157227,57.92905,1142.350952
312,,,,,,,,,,,,,,,,-1542.119751,57.905468,1142.339111
313,,,,,,,,,,,,,,,,-1542.118408,57.888645,1142.342773
